,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
80,1.0,S,20.0,mail,0.0,0,mail,5991.0,R.pool350,E9pool
81,1.0,S,20.0,sail,1.0,1,sail,6432.0,R.pool350,E9pool
82,1.0,S,20.0,trail,2.0,2,trail,5975.0,R.pool350,E9pool
83,1.0,S,20.0,wail,3.0,3,wail,6112.0,R.pool350,E9pool
84,1.0,S,20.0,tail,4.0,4,tail,5419.0,R.pool350,E9pool
85,1.0,S,20.0,jail,5.0,5,jail,5484.0,R.pool350,E9pool
86,1.0,D,21.0,deck,0.0,0,deck,6346.0,R.pool350,E9pool
87,1.0,D,21.0,slice,1.0,1,slice,8021.0,R.pool350,E9pool
88,1.0,D,21.0,rat,2.0,2,rat,5906.0,R.pool350,E9pool
89,1.0,D,22.0,mare,0.0,0,mare,6405.0,R.pool350,E9pool
90,1.0,D,22.0,bell,1.0,1,bell,5877.0,R.pool350,E9pool
91,1.0,D,22.0,brain,2.0,2,brain,6570.0,R.pool350,E9pool
92,1.0,D,22.0,beef,3.0,3,beef,6683.0,R.pool350,E9pool
93,1.0,S,23.0,pie,0.0,0,pie,6285.0,R.pool350,E9pool
94,1.0,S,23.0,fly,1.0,1,fly,6184.0,R.pool350,E9pool
95,1.0,S,23.0,tie,2.0,2,tie,5025.0,R.pool350,E9pool
96,1.0,S,23.0,sky,3.0,3,sky,6130.0,R.pool350,E9pool
97,1.0,S,23.0,eye,4.0,,,7453.0,R.pool350,E9pool
98,1.0,D,24.0,shell,0.0,0,shell,5109.0,R.pool350,E9pool
99,1.0,D,24.0,tree,1.0,1,tree,5865.0,R.pool350,E9pool
100,1.0,D,24.0,bowl,2.0,2,bowl,5727.0,R.pool350,E9pool
101,1.0,D,24.0,broom,3.0,3,broom,7331.0,R.pool350,E9pool
102,1.0,D,24.0,test,4.0,4,test,8292.0,R.pool350,E9pool
103,1.0,D,24.0,ground,5.0,5,ground,5862.0,R.pool350,E9pool
104,1.0,D,25.0,beard,0.0,0,beard,6003.0,R.pool350,E9pool
105,1.0,D,25.0,hill,1.0,1,hill,6602.0,R.pool350,E9pool
106,1.0,D,25.0,dirt,2.0,2,dirt,6674.0,R.pool350,E9pool
107,1.0,D,25.0,card,3.0,3,,6981.0,R.pool350,E9pool
108,1.0,D,25.0,line,4.0,4,card,6775.0,R.pool350,E9pool
109,1.0,S,26.0,band,0.0,0,band,5192.0,R.pool350,E9pool
110,1.0,S,26.0,land,1.0,1,land,5929.0,R.pool350,E9pool
111,1.0,S,26.0,stand,2.0,2,stand,7308.0,R.pool350,E9pool
112,1.0,S,26.0,hand,3.0,3,hand,7728.0,R.pool350,E9pool
113,1.0,S,27.0,blouse,0.0,0,,5379.0,R.pool350,E9pool
114,1.0,S,27.0,house,1.0,1,house,8046.0,R.pool350,E9pool
115,1.0,S,27.0,mouse,2.0,2,mouse,6393.0,R.pool350,E9pool
116,10.0,P,0.0,hood,0.0,0,wood,7994.0,R.pool350,E9pool
117,10.0,P,0.0,wood,1.0,,,7097.0,R.pool350,E9pool
118,10.0,P,1.0,bath,0.0,0,bath,6957.0,R.pool350,E9pool
119,10.0,P,1.0,dawn,1.0,1,dawn,10037.0,R.pool350,E9pool
120,10.0,P,2.0,earth,0.0,0,earth,7370.0,R.pool350,E9pool
121,10.0,P,2.0,peach,1.0,1,peach,6841.0,R.pool350,E9pool
122,10.0,P,3.0,farm,0.0,0,farm,5971.0,R.pool350,E9pool
123,10.0,P,3.0,arm,1.0,1,arm,6877.0,R.pool350,E9pool
124,10.0,S,4.0,cream,0.0,0,cream,5401.0,R.pool350,E9pool
125,10.0,S,4.0,team,1.0,1,team,6250.0,R.pool350,E9pool
126,10.0,S,4.0,steam,2.0,2,steam,6335.0,R.pool350,E9pool
127,10.0,S,5.0,king,0.0,0,king,6758.0,R.pool350,E9pool
