,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
78,53.0,D,20.0,0.0,mare,0,mare,3239.0,spOspan.noVer,E7
79,53.0,D,20.0,1.0,bell,1,bell,3522.0,spOspan.noVer,E7
80,53.0,D,20.0,2.0,brain,2,brain,3551.0,spOspan.noVer,E7
81,53.0,D,20.0,3.0,beef,3,beef,3508.0,spOspan.noVer,E7
82,53.0,D,21.0,0.0,toy,0,,3620.0,spOspan.noVer,E7
83,53.0,D,21.0,1.0,wreck,1,,2965.0,spOspan.noVer,E7
84,53.0,D,21.0,2.0,frown,2,frown,3900.0,spOspan.noVer,E7
85,53.0,D,22.0,0.0,chest,0,chest,3354.0,spOspan.noVer,E7
86,53.0,D,22.0,1.0,lane,1,lane,2974.0,spOspan.noVer,E7
87,53.0,D,22.0,2.0,hair,2,hair,3299.0,spOspan.noVer,E7
88,53.0,D,22.0,3.0,crown,3,crown,3986.0,spOspan.noVer,E7
89,53.0,D,23.0,0.0,ant,0,ant,3116.0,spOspan.noVer,E7
90,53.0,D,23.0,1.0,air,1,air,3699.0,spOspan.noVer,E7
91,53.0,D,23.0,2.0,ink,2,ink,3754.0,spOspan.noVer,E7
92,53.0,D,23.0,3.0,cloud,3,chair,3197.0,spOspan.noVer,E7
93,53.0,D,23.0,4.0,seat,4,cloud,4002.0,spOspan.noVer,E7
94,53.0,D,23.0,5.0,breath,5,breath,3908.0,spOspan.noVer,E7
95,53.0,D,24.0,0.0,beard,0,hill,3356.0,spOspan.noVer,E7
96,53.0,D,24.0,1.0,hill,1,beard,3377.0,spOspan.noVer,E7
97,53.0,D,24.0,2.0,dirt,2,dirt,3813.0,spOspan.noVer,E7
98,53.0,D,24.0,3.0,card,3,card,3086.0,spOspan.noVer,E7
99,53.0,D,24.0,4.0,line,,,3373.0,spOspan.noVer,E7
100,53.0,D,25.0,0.0,shell,0,shell,4052.0,spOspan.noVer,E7
101,53.0,D,25.0,1.0,tree,1,tree,3260.0,spOspan.noVer,E7
102,53.0,D,25.0,2.0,bowl,2,bowl,3686.0,spOspan.noVer,E7
103,53.0,D,25.0,3.0,broom,3,broom,3814.0,spOspan.noVer,E7
104,53.0,D,25.0,4.0,test,4,test,3456.0,spOspan.noVer,E7
105,53.0,D,25.0,5.0,ground,5,ground,2968.0,spOspan.noVer,E7
106,53.0,D,26.0,0.0,path,0,trail,3683.0,spOspan.noVer,E7
107,53.0,D,26.0,1.0,nest,1,nest,3546.0,spOspan.noVer,E7
