experiment,original,paper,mlm
E1,spOspan.noVer,Reading,E1-O-reduced
E2,Ospan.scram.noVer,Ospan,E2-O
E4,Rspan.names.short,Long,E4-names-short
E4,Rspan.names.long,Short,E4-names-long
BMC-E2,Rspan.long,A,BMC-E2A
BMC-E2,Rspan.short,B,BMC-E2B
E2,R.scramb,Rspan,E2-R
E3,R.pool10,10,E3-pool-10
E3,R.pool15,15,E3-pool-15
E3,R.pool30,30,E3-pool-30
E3,R.pool60,60,E3-pool-60
E3,R.pool350,350,E3-pool-350
E1,Ospan.reg,Standard,E1-O-standard
