"","Subject","task","trialtype","ACC.transdist","freq"
"151","8","R.pool350","S",NA,19
"152","8","Rspan.long","D",-1,3
"153","8","Rspan.long","D",0,32
"154","8","Rspan.long","D",1,2
"155","8","Rspan.long","D",NA,19
"156","8","Rspan.long","S",-1,7
"157","8","Rspan.long","S",0,32
"158","8","Rspan.long","S",1,2
"159","8","Rspan.long","S",NA,15
"160","9","Ospan.reg","D",-1,5
"161","9","Ospan.reg","D",0,36
"162","9","Ospan.reg","D",1,2
"163","9","Ospan.reg","D",NA,11
"164","9","Ospan.reg","S",-1,2
"165","9","Ospan.reg","S",0,45
"166","9","Ospan.reg","S",2,1
"167","9","Ospan.reg","S",NA,6
"168","9","R.pool350","D",-2,1
"169","9","R.pool350","D",-1,4
"170","9","R.pool350","D",0,35
"171","9","R.pool350","D",NA,14
"172","9","R.pool350","S",-1,4
"173","9","R.pool350","S",0,34
"174","9","R.pool350","S",1,2
"175","9","R.pool350","S",NA,14
"176","10","R.pool350","D",-1,3
"177","10","R.pool350","D",0,42
"178","10","R.pool350","D",NA,9
"179","10","R.pool350","S",-2,3
"180","10","R.pool350","S",-1,1
"181","10","R.pool350","S",0,39
"182","10","R.pool350","S",NA,12
"183","10","Rspan.long","D",-1,8
"184","10","Rspan.long","D",0,19
"185","10","Rspan.long","D",NA,27
"186","10","Rspan.long","S",-2,2
"187","10","Rspan.long","S",-1,1
"188","10","Rspan.long","S",0,34
"189","10","Rspan.long","S",1,1
"190","10","Rspan.long","S",NA,18
"191","11","R.pool350","D",0,38
"192","11","R.pool350","D",1,1
"193","11","R.pool350","D",NA,15
"194","11","R.pool350","S",-3,1
"195","11","R.pool350","S",-2,1
"196","11","R.pool350","S",-1,3
"197","11","R.pool350","S",0,31
"198","11","R.pool350","S",1,1
"199","11","R.pool350","S",2,1
"200","11","R.pool350","S",NA,17
"201","12","Ospan.reg","D",-1,4
"202","12","Ospan.reg","D",0,31
"203","12","Ospan.reg","D",1,3
"204","12","Ospan.reg","D",2,1
"205","12","Ospan.reg","D",NA,15
"206","12","Ospan.reg","S",-4,1
"207","12","Ospan.reg","S",-2,2
"208","12","Ospan.reg","S",-1,8
"209","12","Ospan.reg","S",0,29
"210","12","Ospan.reg","S",1,3
"211","12","Ospan.reg","S",NA,11
"212","12","R.pool350","D",-1,3
"213","12","R.pool350","D",0,37
"214","12","R.pool350","D",1,1
"215","12","R.pool350","D",2,1
"216","12","R.pool350","D",NA,14
"217","12","R.pool350","S",-2,1
"218","12","R.pool350","S",-1,3
"219","12","R.pool350","S",0,43
"220","12","R.pool350","S",1,2
"221","12","R.pool350","S",NA,6
"222","12","Rspan.long","D",-1,3
"223","12","Rspan.long","D",0,24
"224","12","Rspan.long","D",1,3
"225","12","Rspan.long","D",NA,25
"226","12","Rspan.long","S",-3,2
"227","12","Rspan.long","S",-2,3
"228","12","Rspan.long","S",-1,5
"229","12","Rspan.long","S",0,27
"230","12","Rspan.long","S",1,3
"231","12","Rspan.long","S",NA,14
"232","13","Ospan.reg","D",0,46
"233","13","Ospan.reg","D",1,1
"234","13","Ospan.reg","D",3,1
"235","13","Ospan.reg","D",NA,10
"236","13","Ospan.reg","S",-2,1
"237","13","Ospan.reg","S",-1,2
"238","13","Ospan.reg","S",0,43
"239","13","Ospan.reg","S",1,1
"240","13","Ospan.reg","S",2,1
"241","13","Ospan.reg","S",NA,6
"242","13","R.pool350","D",-1,2
"243","13","R.pool350","D",0,31
"244","13","R.pool350","D",1,1
"245","13","R.pool350","D",NA,20
"246","13","R.pool350","S",-4,1
"247","13","R.pool350","S",-2,1
"248","13","R.pool350","S",-1,2
