"","Subject","task","folder","trialtype","triallen","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"1","1","R.pool350","E9pool","D",3,1,1,1,0,0,0,0,0,1
"2","1","R.pool350","E9pool","D",4,1,1,1,0,0,0,0,0,1
"3","1","R.pool350","E9pool","D",5,0.533333333333333,0.6,1,0.4,0.0666666666666667,NA,NA,0,0.888888888888889
"4","1","R.pool350","E9pool","D",6,0.722222222222222,0.722222222222222,1,0.166666666666667,0,NA,NA,0.0555555555555556,1
"5","1","R.pool350","E9pool","S",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"6","1","R.pool350","E9pool","S",4,0.916666666666667,0.916666666666667,1,0.0833333333333333,0,NA,NA,0,1
"7","1","R.pool350","E9pool","S",5,0.866666666666667,0.866666666666667,1,0.133333333333333,0,NA,NA,0,1
"8","1","R.pool350","E9pool","S",6,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"9","1","R.scramb","E7","D",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"10","1","R.scramb","E7","D",4,0.833333333333333,0.833333333333333,1,0.166666666666667,0,NA,NA,0,1
"11","1","R.scramb","E7","D",5,0.333333333333333,0.6,1,0.266666666666667,0.266666666666667,NA,NA,0,0.555555555555556
"12","1","R.scramb","E7","D",6,0.111111111111111,0.388888888888889,1,0.5,0.277777777777778,NA,NA,0.0555555555555556,0.285714285714286
"13","1","R.scramb","E7","S",3,1,1,1,0,0,0,0,0,1
"14","1","R.scramb","E7","S",4,0.5,0.833333333333333,1,0.0833333333333333,0.333333333333333,NA,NA,0,0.6
"15","1","R.scramb","E7","S",5,0.666666666666667,0.8,1,0.2,0.133333333333333,NA,NA,0,0.833333333333333
"16","1","R.scramb","E7","S",6,0.5,0.611111111111111,1,0.333333333333333,0.111111111111111,NA,NA,0,0.818181818181818
"17","2","R.pool350","E9pool","D",3,0.333333333333333,0.555555555555556,1,0.444444444444444,0.222222222222222,NA,NA,0,0.6
"18","2","R.pool350","E9pool","D",4,0.25,0.333333333333333,1,0.333333333333333,0.0833333333333333,NA,NA,0,0.75
"19","2","R.pool350","E9pool","D",5,0.266666666666667,0.333333333333333,1,0.533333333333333,0.0666666666666667,NA,NA,0.0666666666666667,0.8
"20","2","R.pool350","E9pool","D",6,0.0555555555555556,0.444444444444444,1,0.444444444444444,0.388888888888889,NA,NA,0.0555555555555556,0.125
"21","2","R.pool350","E9pool","S",3,1,1,1,0,0,NA,NA,0,1
"22","2","R.pool350","E9pool","S",4,0.666666666666667,0.833333333333333,1,0.0833333333333333,0.166666666666667,NA,NA,0,0.8
"23","2","R.pool350","E9pool","S",5,0.466666666666667,0.6,1,0.4,0.133333333333333,NA,NA,0,0.777777777777778
"24","2","R.pool350","E9pool","S",6,0.166666666666667,0.611111111111111,1,0.333333333333333,0.444444444444444,NA,NA,0,0.272727272727273
"25","3","Ospan.reg","E4","D",3,0.444444444444444,0.555555555555556,1,0.222222222222222,0.111111111111111,NA,NA,0.222222222222222,0.8
"26","3","Ospan.reg","E4","D",4,0.75,0.75,1,0.25,0,NA,NA,0,1
"27","3","Ospan.reg","E4","D",5,0.333333333333333,0.666666666666667,1,0.333333333333333,0.333333333333333,NA,NA,0,0.5
